season,result,map,team_role,match_length,character,char_role
5,win,eichenwalde,attack,8.0,mercy,support
5,win,eichenwalde,defend,4.0,symmetra,damage
5,loss,hollywood,attack,6.0,zen,support
5,loss,hollywood,defend,6.5,zen,support
5,loss,hollywood,attack,3.0,zen,support
5,win,numbani,defend,4.0,symmetra,damage
5,win,numbani,attack,1.5,zen,support
5,loss,nepal,cp,10.0,lucio,support
5,win,dorado,defend,8.0,mercy,support
5,win,dorado,attack,8.0,mercy,support
5,win,king's row,defend,8.0,symmetra,damage
5,win,king's row,attack,4.5,zen,support
5,win,dorado,attack,8.0,winston,tank
5,win,dorado,defend,4.0,d'va,tank
5,win,horizon,defend,5.0,mercy,support
5,win,horizon,attack,4.0,mercy,support
5,win,horizon,defend,4.0,mercy,support
5,win,horizon,attack,2.5,mercy,support
5,loss,temple of anubis,defend,3.0,mercy,support
5,loss,temple of anubis,attack,4.0,zen,support
5,loss,illios,cp,22.5,mercy,support
5,loss,eichenwalde,defend,6.5,mercy,support
5,loss,eichenwalde,attack,6.5,mercy,support
5,loss,hollywood,attack,6.5,mercy,support
5,loss,hollywood,defend,6.0,mercy,support
5,win,horizon,attack,2.5,zen,support
5,win,horizon,defend,4.5,mercy,support
5,loss,numbani,attack,4.0,zen,support
5,loss,numbani,defend,2.0,mercy,support
5,win,volskaya industries,attack,1.5,zen,support
5,win,volskaya industries,defend,8.0,symmetra,damage
5,win,illios,cp,12.0,lucio,support
5,loss,oasis,cp,18.0,mercy,support
5,loss,nepal,cp,18.5,zen,support
5,win,hanamura,defend,0.0,zen,support
5,win,hanamura,attack,1.0,zen,support
5,win,volskaya industries,defend,4.0,zen,support
5,win,volskaya industries,attack,3.0,zen,support
5,loss,gibraltar,defend,8.0,zen,support
5,loss,gibraltar,attack,4.0,ana,support
5,win,nepal,cp,10.0,lucio,support
5,loss,hollywood,defend,7.0,zen,support
5,loss,hollywood,attack,3.0,zen,support
5,loss,dorado,defend,6.5,zen,support
5,loss,dorado,attack,6.5,zen,support
5,loss,king's row,attack,4.0,zen,support
5,loss,king's row,defend,3.0,mercy,support
5,loss,oasis,cp,10.5,zen,support
5,win,eichenwalde,defend,4.0,mercy,support
5,win,eichenwalde,attack,1.0,mercy,support
5,win,temple of anubis,defend,4.0,mercy,support
5,win,temple of anubis,attack,1.0,mercy,support
5,win,hanamura,defend,4.0,mercy,support
5,win,hanamura,attack,1.0,mercy,support
5,loss,hollywood,attack,7.0,mercy,support
5,loss,route 66,attack,8.0,mercy,support
5,win,nepal,cp,14.5,lucio,support
5,draw,horizon,defend,4.0,ana,support
5,draw,horizon,attack,8.0,zen,support
5,draw,horizon,defend,4.0,zen,support
5,loss,lijiang tower,cp,9.0,lucio,support
5,win,king's row,attack,8.5,zen,support
5,win,king's row,defend,8.0,zen,support
5,draw,hollywood,defend,7.5,zen,support
5,draw,hollywood,attack,8.0,zen,support
5,draw,hollywood,attack,2.0,lucio,support
5,draw,hollywood,defend,2.0,torbjorn,damage
5,win,lijiang tower,cp,19.0,lucio,support
5,win,route 66,attack,5.5,zen,support
5,win,route 66,defend,8.0,zen,support
5,win,king's row,attack,8.0,zen,support
5,win,king's row,defend,8.0,zen,support
5,draw,hanamura,defend,4.0,ana,support
5,draw,hanamura,attack,4.0,ana,support
5,loss,volskaya industries,defend,6.0,ana,support
5,loss,volskaya industries,attack,6.0,ana,support
5,loss,volskaya industries,defend,2.5,ana,support
5,loss,volskaya industries,attack,5.0,zen,support
5,win,oasis,cp,11.5,zen,support
5,draw,king's row,defend,6.0,mercy,support
5,draw,king's row,attack,8.5,mercy,support
5,draw,king's row,defend,2.0,mercy,support
5,win,temple of anubis,defend,4.0,zen,support
5,win,temple of anubis,attack,1.5,zen,support
5,loss,horizon,defend,5.0,ana,support
5,loss,horizon,attack,3.0,torbjorn,damage
5,loss,horizon,attack,3.0,zen,support
5,loss,horizon,defend,1.0,mercy,support
5,win,gibraltar,defend,4.0,zen,support
5,win,hanamura,defend,8.0,zen,support
5,win,illios,cp,15.0,lucio,support
5,loss,eichenwalde,defend,7.0,mercy,support
5,loss,eichenwalde,attack,4.0,mercy,support
5,loss,horizon,defend,7.5,mercy,support
5,loss,horizon,attack,8.0,zen,support
5,win,illios,cp,11.0,lucio,support
5,loss,dorado,defend,8.0,zen,support
5,loss,dorado,attack,7.0,mercy,support
5,win,volskaya industries,defend,4.0,mercy,support
5,win,volskaya industries,attack,3.5,mercy,support
5,draw,horizon,attack,4.0,zen,support
5,draw,horizon,defend,3.5,zen,support
5,draw,horizon,defend,4.0,zen,support
5,draw,horizon,attack,4.0,lucio,support
5,loss,numbani,defend,7.5,zen,support
5,loss,numbani,attack,8.0,ana,support
5,loss,temple of anubis,defend,6.0,zen,support
5,loss,temple of anubis,attack,8.0,zen,support
5,loss,gibraltar,defend,8.0,zen,support
5,loss,gibraltar,attack,8.0,zen,support
5,loss,horizon,defend,5.0,zen,support
5,loss,horizon,attack,8.0,zen,support
5,loss,route 66,defend,8.0,torbjorn,damage
5,loss,route 66,attack,8.0,ana,support
5,loss,eichenwalde,defend,8.0,symmetra,damage
5,loss,eichenwalde,attack,4.0,lucio,support
5,loss,volskaya industries,defend,5.0,mercy,support
5,loss,volskaya industries,attack,8.0,ana,support
5,win,temple of anubis,defend,4.0,symmetra,damage
5,win,temple of anubis,attack,1.0,lucio,support
5,win,nepal,cp,8.0,lucio,support
5,win,hanamura,defend,8.0,mercy,support
5,win,hanamura,attack,3.0,mercy,support
5,win,dorado,attack,6.0,zen,support
5,win,dorado,defend,7.0,zen,support
5,win,volskaya industries,attack,7.5,lucio,support
5,win,volskaya industries,defend,4.0,zen,support
5,win,gibraltar,attack,8.0,zen,support
5,win,gibraltar,defend,7.0,mercy,support
5,win,illios,cp,21.0,lucio,support
5,loss,route 66,defend,8.0,zen,support
5,loss,route 66,attack,6.0,zen,support
5,loss,lijiang tower,cp,10.0,lucio,support
5,win,numbani,defend,8.0,symmetra,damage
5,win,numbani,attack,4.0,zen,support
5,win,dorado,defend,7.0,zen,support
5,win,dorado,attack,3.0,zen,support
6,win,dorado,defend,8.0,symmetra,damage
6,win,temple of anubis,defend,4.0,symmetra,damage
6,win,temple of anubis,attack,4.0,ana,support
6,draw,hanamura,defend,8.0,symmetra,damage
6,loss,eichenwalde,attack,8.0,ana,support
6,loss,dorado,attack,4.0,ana,support
6,win,lijiang tower,cp,8.5,lucio,support
6,loss,king's row,defend,8.0,ana,support
6,loss,king's row,attack,8.0,mercy,support
6,loss,volskaya industries,defend,6.5,symmetra,damage
6,loss,volskaya industries,attack,8.0,ana,support
6,win,nepal,cp,14.5,ana,support
6,win,numbani,attack,6.0,orisa,tank
6,win,numbani,attack,3.0,pharah,damage
6,win,illios,cp,6.0,zen,support
6,win,lijiang tower,cp,9.0,lucio,support
6,win,king's row,defend,0.0,zen,support
6,win,king's row,attack,1.0,zen,support
6,loss,horizon,defend,4.5,orisa,tank
6,loss,horizon,attack,4.0,mercy,support
6,loss,oasis,cp,15.0,lucio,support
6,draw,numbani,attack,4.0,zen,support
6,draw,numbani,defend,4.0,mercy,support
6,win,eichenwalde,defend,4.0,d'va,tank
6,win,eichenwalde,attack,3.0,zen,support
6,win,nepal,cp,6.5,lucio,support
6,loss,illios,cp,14.5,mercy,support
6,win,numbani,defend,8.0,mercy,support
6,win,numbani,attack,7.0,mercy,support
6,loss,route 66,defend,8.0,mercy,support
6,loss,route 66,attack,8.0,mercy,support
6,loss,route 66,attack,4.0,mercy,support
6,loss,route 66,defend,2.0,mercy,support
6,win,lijiang tower,cp,8.5,lucio,support
6,win,eichenwalde,defend,4.0,zen,support
6,win,eichenwalde,attack,3.5,zen,support
6,win,hanamura,attack,4.0,mercy,support
6,win,hanamura,defend,4.0,mercy,support
6,loss,temple of anubis,defend,7.5,zen,support
6,loss,temple of anubis,attack,8.0,zen,support
6,win,oasis,cp,13.5,zen,support
6,win,volskaya industries,attack,4.0,zen,support
6,win,volskaya industries,defend,6.5,mercy,support
6,win,volskaya industries,defend,4.0,mercy,support
6,win,volskaya industries,attack,1.5,mercy,support
6,loss,route 66,attack,4.0,mercy,support
6,loss,eichenwalde,defend,8.0,mercy,support
6,loss,eichenwalde,attack,7.0,mercy,support
6,win,gibraltar,defend,4.0,lucio,support
6,win,gibraltar,attack,2.0,lucio,support
6,win,illios,cp,16.0,d'va,tank
6,loss,temple of anubis,defend,5.0,d'va,tank
6,loss,temple of anubis,attack,4.0,d'va,tank
6,win,king's row,defend,4.0,mercy,support
6,win,king's row,attack,2.0,orisa,tank
6,win,dorado,defend,7.0,zen,support
6,win,dorado,attack,6.0,zen,support
6,win,volskaya industries,defend,4.0,mercy,support
6,win,volskaya industries,attack,3.0,mercy,support
6,loss,nepal,cp,9.0,mercy,support
6,loss,horizon,defend,4.5,mercy,support
6,loss,horizon,attack,8.0,d'va,tank
6,win,oasis,cp,13.5,zen,support
6,loss,route 66,attack,8.0,zen,support
6,loss,route 66,defend,8.0,mercy,support
6,win,dorado,attack,6.5,zen,support
6,win,dorado,defend,8.5,zen,support
6,win,hollywood,attack,7.0,zen,support
6,win,hollywood,defend,4.0,zen,support
6,win,hanamura,attack,8.0,zen,support
6,win,hanamura,defend,4.0,zen,support
6,loss,route 66,defend,8.0,zen,support
6,loss,route 66,attack,7.0,zen,support
6,win,eichenwalde,defend,4.0,zen,support
6,win,eichenwalde,attack,4.0,zen,support
6,loss,oasis,cp,10.0,zen,support
6,loss,temple of anubis,attack,8.0,zen,support
6,loss,temple of anubis,defend,8.0,d'va,tank
6,win,eichenwalde,attack,5.5,zen,support
6,win,eichenwalde,defend,7.0,mercy,support
6,win,nepal,cp,10.0,zen,support
6,loss,lijiang tower,cp,9.0,zen,support
6,loss,horizon,defend,8.0,zen,support
6,loss,horizon,attack,4.0,zen,support
6,win,illios,cp,6.5,zen,support
6,win,oasis,cp,8.5,zen,support
6,loss,dorado,defend,8.0,mercy,support
6,loss,dorado,attack,8.0,zen,support
6,win,volskaya industries,defend,6.5,mercy,support
6,win,volskaya industries,attack,4.5,zen,support
6,win,volskaya industries,defend,1.5,d'va,tank
6,win,volskaya industries,attack,1.5,lucio,support
6,loss,eichenwalde,attack,7.0,zen,support
6,draw,horizon,attack,4.0,zen,support
6,loss,hollywood,attack,7.0,zen,support
6,loss,hollywood,defend,6.0,torbjorn,damage
6,loss,route 66,attack,4.0,d'va,tank
6,win,gibraltar,attack,4.0,zen,support
6,win,gibraltar,defend,6.0,zen,support
6,win,gibraltar,defend,2.0,zen,support
6,win,gibraltar,attack,2.0,zen,support
6,win,hanamura,defend,8.0,zen,support
6,win,hanamura,attack,5.0,zen,support
6,win,hanamura,attack,2.0,zen,support
6,loss,dorado,defend,6.0,zen,support
6,win,eichenwalde,defend,8.0,mercy,support
6,win,eichenwalde,attack,5.0,zen,support
6,win,gibraltar,defend,4.0,zen,support
6,loss,king's row,defend,7.5,torbjorn,damage
6,loss,king's row,attack,8.0,zen,support
6,loss,numbani,defend,8.0,lucio,support
6,loss,numbani,attack,4.0,mercy,support
6,win,route 66,defend,4.0,ana,support
6,win,temple of anubis,attack,6.5,zen,support
6,win,temple of anubis,defend,8.0,zen,support
6,loss,hollywood,attack,7.0,zen,support
6,loss,hollywood,defend,6.0,ana,support
6,loss,dorado,defend,4.5,zen,support
6,loss,dorado,attack,4.0,zen,support
6,win,lijiang tower,cp,11.0,lucio,support
6,loss,volskaya industries,attack,8.0,zen,support
6,loss,volskaya industries,defend,4.0,ana,support
6,win,route 66,defend,4.0,mercy,support
6,win,route 66,attack,4.0,mercy,support
6,win,hanamura,defend,8.0,zen,support
6,win,hanamura,attack,7.0,zen,support
6,win,illios,cp,9.0,lucio,support
6,loss,numbani,attack,4.0,mercy,support
6,loss,nepal,cp,10.0,lucio,support
6,win,horizon,defend,8.0,zen,support
6,win,horizon,attack,4.0,zen,support
6,win,eichenwalde,attack,7.5,zen,support
6,win,eichenwalde,defend,4.0,zen,support
6,loss,route 66,defend,7.0,zen,support
6,loss,route 66,attack,8.0,zen,support
6,loss,route 66,attack,1.0,zen,support
6,loss,route 66,defend,0.5,zen,support
6,win,hanamura,attack,2.0,zen,support
6,win,hanamura,defend,8.0,mercy,support
6,win,hanamura,defend,1.0,torbjorn,damage
6,win,hanamura,attack,3.0,mercy,support
6,loss,temple of anubis,attack,8.0,zen,support
6,loss,temple of anubis,defend,5.0,mercy,support
6,win,numbani,attack,7.0,zen,support
6,win,numbani,defend,8.0,zen,support
6,loss,oasis,cp,11.5,zen,support
6,loss,hollywood,attack,7.0,zen,support
6,loss,dorado,defend,4.0,mercy,support
6,loss,dorado,attack,4.0,zen,support
6,loss,gibraltar,attack,4.0,zen,support
6,loss,horizon,defend,1.5,mercy,support
6,loss,lijiang tower,cp,10.0,lucio,support
6,loss,numbani,defend,5.0,zen,support
6,loss,numbani,attack,8.0,zen,support
6,loss,eichenwalde,attack,4.0,ana,support
6,loss,dorado,attack,7.0,zen,support
6,loss,route 66,defend,7.0,mercy,support
6,loss,route 66,attack,4.0,mercy,support
6,loss,gibraltar,defend,8.0,mercy,support
6,loss,gibraltar,attack,6.5,zen,support
6,loss,gibraltar,defend,4.0,zen,support
6,loss,gibraltar,attack,2.0,zen,support
6,win,horizon,attack,8.0,zen,support
6,win,horizon,defend,4.0,mercy,support
6,win,dorado,defend,8.0,zen,support
6,win,dorado,attack,7.5,zen,support
6,loss,temple of anubis,attack,8.0,zen,support
6,loss,temple of anubis,defend,3.0,mercy,support
6,loss,hanamura,attack,8.0,zen,support
6,loss,hanamura,defend,5.0,mercy,support
6,loss,hanamura,attack,4.0,zen,support
6,loss,illios,cp,9.0,mercy,support
6,loss,king's row,defend,8.0,lucio,support
6,loss,king's row,attack,4.0,lucio,support
6,win,route 66,defend,8.0,mercy,support
6,win,route 66,attack,6.5,lucio,support
6,win,route 66,defend,1.0,mercy,support
6,win,route 66,attack,1.5,zen,support
6,win,nepal,cp,13.0,mercy,support
6,loss,horizon,attack,3.0,lucio,support
6,loss,horizon,defend,2.0,lucio,support
6,loss,horizon,attack,6.5,lucio,support
6,loss,horizon,defend,2.0,lucio,support
6,loss,horizon,defend,2.0,ana,support
6,loss,junkertown,attack,8.5,torbjorn,damage
6,loss,junkertown,attack,3.0,torbjorn,damage
6,loss,junkertown,defend,3.5,torbjorn,damage
6,win,king's row,defend,7.0,torbjorn,damage
6,win,king's row,attack,7.0,ana,support
6,win,eichenwalde,defend,4.0,symmetra,damage
6,win,eichenwalde,attack,4.0,lucio,support
6,loss,dorado,defend,5.5,ana,support
6,loss,dorado,attack,5.5,orisa,tank
6,loss,dorado,defend,3.0,orisa,tank
6,win,king's row,defend,4.0,symmetra,damage
6,win,illios,cp,10.0,lucio,support
6,win,temple of anubis,defend,8.0,symmetra,damage
6,win,temple of anubis,attack,5.0,lucio,support
6,win,hollywood,defend,4.0,symmetra,damage
6,win,hollywood,attack,2.0,lucio,support
6,win,hanamura,attack,8.0,lucio,support
6,win,hanamura,defend,4.0,symmetra,damage
6,win,volskaya industries,defend,4.0,symmetra,damage
6,win,volskaya industries,attack,3.0,lucio,support
6,win,route 66,attack,5.0,lucio,support
6,win,route 66,defend,7.0,symmetra,damage
6,win,oasis,cp,10.0,lucio,support
6,win,numbani,defend,8.0,symmetra,damage
6,win,numbani,attack,7.0,lucio,support
6,win,eichenwalde,attack,4.0,lucio,support
6,win,nepal,cp,15.0,lucio,support
6,loss,junkertown,defend,6.0,lucio,support
6,loss,junkertown,attack,8.0,lucio,support
6,loss,junkertown,attack,3.0,lucio,support
6,loss,junkertown,defend,2.0,lucio,support
6,loss,temple of anubis,attack,8.0,lucio,support
6,loss,temple of anubis,defend,6.0,lucio,support
6,loss,temple of anubis,attack,1.0,lucio,support
6,loss,temple of anubis,defend,4.0,lucio,support
6,win,numbani,attack,8.0,lucio,support
6,win,numbani,defend,4.0,torbjorn,damage
6,loss,hollywood,attack,4.0,zen,support
6,loss,hollywood,defend,3.0,torbjorn,damage
6,win,route 66,defend,8.0,mercy,support
6,win,route 66,attack,5.0,zen,support
6,win,route 66,defend,1.0,zen,support
6,win,route 66,attack,2.0,ana,support
6,win,lijiang tower,cp,13.0,ana,support
6,win,numbani,defend,4.0,lucio,support
6,win,numbani,attack,1.0,torbjorn,damage
6,win,hanamura,attack,4.0,lucio,support
6,win,hanamura,defend,4.0,zen,support
6,loss,king's row,attack,6.0,mercy,support
6,loss,king's row,attack,2.0,mercy,support
6,loss,king's row,defend,2.5,mercy,support
6,loss,hollywood,defend,5.5,zen,support
6,loss,hollywood,attack,7.0,orisa,tank
6,loss,dorado,attack,4.0,zen,support
6,loss,dorado,defend,4.0,torbjorn,damage
6,win,lijiang tower,cp,8.5,lucio,support
6,win,hanamura,attack,3.5,zen,support
6,win,hanamura,defend,4.0,orisa,tank
6,win,nepal,cp,12.0,lucio,support
6,draw,hollywood,defend,8.0,torbjorn,damage
6,draw,hollywood,attack,7.5,zen,support
6,draw,hollywood,defend,1.0,zen,support
6,draw,hollywood,attack,1.5,zen,support
6,loss,route 66,defend,7.0,lucio,support
6,loss,route 66,attack,4.0,zen,support
6,win,hollywood,attack,8.0,zen,support
6,win,hollywood,defend,7.0,zen,support
6,win,illios,cp,8.5,lucio,support
6,loss,temple of anubis,defend,4.0,zen,support
6,loss,temple of anubis,attack,4.0,lucio,support
6,loss,eichenwalde,defend,8.0,mercy,support
6,loss,eichenwalde,attack,4.0,mercy,support
6,win,nepal,cp,11.0,lucio,support
6,loss,hanamura,defend,2.0,zen,support
6,loss,hanamura,attack,8.0,lucio,support
6,loss,lijiang tower,cp,6.5,lucio,support
6,win,hollywood,defend,7.0,mercy,support
6,win,hollywood,attack,7.5,mercy,support
6,win,numbani,attack,6.5,zen,support
6,win,numbani,defend,5.0,symmetra,damage
6,win,numbani,attack,4.0,zen,support
6,win,numbani,defend,2.0,symmetra,damage
6,win,route 66,attack,8.0,zen,support
6,win,route 66,defend,3.0,zen,support
6,win,route 66,attack,3.0,mercy,support
6,win,volskaya industries,attack,3.5,zen,support
6,win,volskaya industries,defend,4.0,zen,support
6,loss,king's row,attack,8.0,lucio,support
6,loss,dorado,attack,2.0,zen,support
6,loss,volskaya industries,defend,6.0,zen,support
6,loss,volskaya industries,attack,4.0,zen,support
6,loss,gibraltar,defend,5.5,mercy,support
6,loss,gibraltar,attack,8.0,mercy,support
6,loss,gibraltar,attack,8.0,mercy,support
6,loss,gibraltar,defend,8.0,mercy,support
6,loss,gibraltar,defend,8.0,mercy,support
6,loss,gibraltar,attack,3.0,mercy,support
6,win,junkertown,attack,8.0,zen,support
6,win,junkertown,defend,8.0,zen,support
6,win,temple of anubis,defend,4.0,zen,support
6,win,temple of anubis,attack,4.0,lucio,support
6,loss,dorado,attack,3.5,zen,support
6,loss,dorado,defend,6.0,zen,support
6,loss,dorado,defend,7.0,zen,support
6,loss,dorado,attack,3.0,zen,support
6,loss,king's row,attack,7.0,ana,support
6,win,illios,cp,8.0,lucio,support
6,loss,horizon,attack,8.0,lucio,support
6,loss,horizon,defend,5.5,mercy,support
6,loss,horizon,defend,2.5,mercy,support
6,win,gibraltar,attack,5.5,ana,support
6,win,gibraltar,defend,4.0,ana,support
6,win,hollywood,defend,7.0,ana,support
6,win,hollywood,attack,6.0,ana,support
6,win,eichenwalde,attack,8.0,ana,support
6,win,eichenwalde,defend,4.0,ana,support
6,win,nepal,cp,13.0,ana,support
6,win,oasis,cp,13.0,ana,support
6,win,junkertown,attack,8.0,ana,support
6,win,junkertown,defend,2.0,ana,support
6,win,lijiang tower,cp,11.0,lucio,support
6,loss,temple of anubis,defend,2.5,ana,support
6,loss,temple of anubis,attack,4.0,lucio,support
6,win,eichenwalde,defend,7.0,symmetra,damage
6,win,eichenwalde,attack,7.0,zen,support
6,draw,hanamura,attack,4.0,lucio,support
6,draw,hanamura,defend,4.0,symmetra,damage
6,loss,volskaya industries,attack,4.0,mercy,support
6,loss,volskaya industries,defend,4.0,symmetra,damage
6,win,route 66,defend,8.0,zen,support
6,win,route 66,attack,4.0,zen,support
6,win,route 66,defend,2.0,zen,support
6,win,route 66,attack,2.0,zen,support
6,win,lijiang tower,cp,11.0,lucio,support
6,win,hollywood,attack,5.0,ana,support
6,win,hollywood,defend,8.0,ana,support
6,win,hollywood,attack,2.0,ana,support
6,win,king's row,defend,7.0,ana,support
6,win,king's row,attack,6.0,ana,support
6,win,junkertown,defend,4.0,ana,support
6,win,junkertown,attack,2.0,ana,support
6,win,oasis,cp,12.0,lucio,support
6,win,horizon,defend,4.5,ana,support
6,win,horizon,attack,5.0,ana,support
6,win,numbani,defend,8.0,ana,support
6,win,numbani,attack,5.0,ana,support
6,win,dorado,defend,5.0,ana,support
6,win,dorado,attack,7.0,ana,support
6,win,dorado,attack,7.0,ana,support
6,win,dorado,defend,3.0,ana,support
6,loss,gibraltar,defend,4.0,ana,support
6,loss,gibraltar,attack,2.0,zen,support
6,win,hanamura,attack,3.5,lucio,support
6,win,hanamura,defend,6.5,ana,support
6,win,hanamura,defend,1.5,ana,support
6,win,hanamura,attack,1.5,ana,support
6,win,dorado,attack,8.0,zen,support
6,win,dorado,defend,7.0,ana,support
6,loss,hollywood,defend,4.0,torbjorn,damage
6,loss,hollywood,attack,7.0,ana,support
6,loss,horizon,defend,8.0,ana,support
6,loss,horizon,attack,4.0,ana,support
6,win,hanamura,attack,4.5,mercy,support
